DVISION_ID,CLASS_ID,BRAND_ID,PARENT_CATEGORY_ID,Web_TREE
11,1,10289,cat000001,cat000001
11,1,10289,cat000019,cat000001_cat000019
11,1,10289,cat000730,cat000001_cat000019_cat000730
11,1,10289,cat42960827,cat000001_cat000019_cat000730_cat42960827
11,1,10289,cat46040734,cat000001_cat000019_cat000730_cat42960827_cat46040734
11,1,10289,cat46520736,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736
11,1,10289,cat46520839,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839
11,1,10289,cat46580776,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776
11,1,10289,cat48090734,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734
11,1,10289,cat52350772,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772
11,1,10289,cat56750744,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744
11,1,10289,cat58290731,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731
11,1,10289,cat58760731,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731
11,1,10289,cat61630742,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742
11,1,10289,cat66020752,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752
11,1,10289,cat74120747,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747
11,1,10289,cat78560735,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735
11,1,10289,cat79130734,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734
11,1,10289,cat79130735,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735
11,1,10289,cat79490731,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731
11,1,10289,cat79630736,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731_cat79630736
11,1,10289,cat79650735,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731_cat79630736_cat79650735
11,1,10289,cat79650736,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731_cat79630736_cat79650735_cat79650736
11,1,10289,cat82440753,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731_cat79630736_cat79650735_cat79650736_cat82440753
11,1,10289,cat980731,cat000001_cat000019_cat000730_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61630742_cat66020752_cat74120747_cat78560735_cat79130734_cat79130735_cat79490731_cat79630736_cat79650735_cat79650736_cat82440753_cat980731
11,1,10332,cat000000,cat000000
11,1,10332,cat000001,cat000000_cat000001
11,1,10332,cat000019,cat000000_cat000001_cat000019
11,1,10332,cat000730,cat000000_cat000001_cat000019_cat000730
11,1,10332,cat12660732,cat000000_cat000001_cat000019_cat000730_cat12660732
11,1,10332,cat42960827,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827
11,1,10332,cat46040734,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734
11,1,10332,cat46520736,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736
11,1,10332,cat46520839,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839
11,1,10332,cat46580776,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776
11,1,10332,cat48090734,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734
11,1,10332,cat52350772,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772
11,1,10332,cat56750744,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744
11,1,10332,cat58290731,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731
